,year,doy,hr,kp,ssn,dst,f10_7
2020-08-15 01:00:00,2020,228,0,0,0,-10,72.4
2020-08-15 02:00:00,2020,228,1,0,0,-5,72.4
2020-08-15 03:00:00,2020,228,2,0,0,-2,72.4
2020-08-15 04:00:00,2020,228,3,0,0,1,72.4
2020-08-15 05:00:00,2020,228,4,0,0,5,72.4
2020-08-15 06:00:00,2020,228,5,0,0,6,72.4
2020-08-15 07:00:00,2020,228,6,10,0,4,72.4
2020-08-15 08:00:00,2020,228,7,10,0,2,72.4
2020-08-15 09:00:00,2020,228,8,10,0,4,72.4
2020-08-15 10:00:00,2020,228,9,3,0,10,72.4
2020-08-15 11:00:00,2020,228,10,3,0,11,72.4
2020-08-15 12:00:00,2020,228,11,3,0,12,72.4
2020-08-15 13:00:00,2020,228,12,3,0,13,72.4
2020-08-15 14:00:00,2020,228,13,3,0,12,72.4
2020-08-15 15:00:00,2020,228,14,3,0,9,72.4
2020-08-15 16:00:00,2020,228,15,3,0,4,72.4
2020-08-15 17:00:00,2020,228,16,3,0,4,72.4
2020-08-15 18:00:00,2020,228,17,3,0,3,72.4
2020-08-15 19:00:00,2020,228,18,3,0,-1,72.4
2020-08-15 20:00:00,2020,228,19,3,0,-5,72.4
2020-08-15 21:00:00,2020,228,20,3,0,-5,72.4
2020-08-15 22:00:00,2020,228,21,3,0,0,72.4
2020-08-15 23:00:00,2020,228,22,3,0,-2,72.4
2020-08-16 00:00:00,2020,228,23,3,0,-2,72.4
2020-08-16 01:00:00,2020,229,0,10,0,2,72.6
2020-08-16 02:00:00,2020,229,1,10,0,-1,72.6
2020-08-16 03:00:00,2020,229,2,10,0,-1,72.6
2020-08-16 04:00:00,2020,229,3,10,0,-4,72.6
2020-08-16 05:00:00,2020,229,4,10,0,-3,72.6
2020-08-16 06:00:00,2020,229,5,10,0,4,72.6
2020-08-16 07:00:00,2020,229,6,10,0,7,72.6
2020-08-16 08:00:00,2020,229,7,10,0,8,72.6
2020-08-16 09:00:00,2020,229,8,10,0,11,72.6
2020-08-16 10:00:00,2020,229,9,10,0,13,72.6
2020-08-16 11:00:00,2020,229,10,10,0,12,72.6
2020-08-16 12:00:00,2020,229,11,10,0,10,72.6
2020-08-16 13:00:00,2020,229,12,3,0,7,72.6
2020-08-16 14:00:00,2020,229,13,3,0,5,72.6
2020-08-16 15:00:00,2020,229,14,3,0,7,72.6
2020-08-16 16:00:00,2020,229,15,3,0,7,72.6
2020-08-16 17:00:00,2020,229,16,3,0,9,72.6
2020-08-16 18:00:00,2020,229,17,3,0,10,72.6
2020-08-16 19:00:00,2020,229,18,3,0,14,72.6
2020-08-16 20:00:00,2020,229,19,3,0,14,72.6
2020-08-16 21:00:00,2020,229,20,3,0,13,72.6
2020-08-16 22:00:00,2020,229,21,7,0,15,72.6
2020-08-16 23:00:00,2020,229,22,7,0,14,72.6
2020-08-17 00:00:00,2020,229,23,7,0,9,72.6
2020-08-17 01:00:00,2020,230,0,7,0,9,72.5
2020-08-17 02:00:00,2020,230,1,7,0,10,72.5
2020-08-17 03:00:00,2020,230,2,7,0,10,72.5
2020-08-17 04:00:00,2020,230,3,3,0,10,72.5
2020-08-17 05:00:00,2020,230,4,3,0,14,72.5
2020-08-17 06:00:00,2020,230,5,3,0,16,72.5
2020-08-17 07:00:00,2020,230,6,7,0,17,72.5
2020-08-17 08:00:00,2020,230,7,7,0,17,72.5
2020-08-17 09:00:00,2020,230,8,7,0,14,72.5
2020-08-17 10:00:00,2020,230,9,10,0,8,72.5
2020-08-17 11:00:00,2020,230,10,10,0,8,72.5
2020-08-17 12:00:00,2020,230,11,10,0,9,72.5
2020-08-17 13:00:00,2020,230,12,7,0,11,72.5
2020-08-17 14:00:00,2020,230,13,7,0,8,72.5
2020-08-17 15:00:00,2020,230,14,7,0,8,72.5
2020-08-17 16:00:00,2020,230,15,3,0,9,72.5
2020-08-17 17:00:00,2020,230,16,3,0,9,72.5
2020-08-17 18:00:00,2020,230,17,3,0,5,72.5
2020-08-17 19:00:00,2020,230,18,3,0,4,72.5
2020-08-17 20:00:00,2020,230,19,3,0,5,72.5
2020-08-17 21:00:00,2020,230,20,3,0,7,72.5
2020-08-17 22:00:00,2020,230,21,7,0,2,72.5
2020-08-17 23:00:00,2020,230,22,7,0,1,72.5
2020-08-18 00:00:00,2020,230,23,7,0,1,72.5
2020-08-18 01:00:00,2020,231,0,10,13,2,73.1
2020-08-18 02:00:00,2020,231,1,10,13,0,73.1
2020-08-18 03:00:00,2020,231,2,10,13,4,73.1
2020-08-18 04:00:00,2020,231,3,13,13,8,73.1
2020-08-18 05:00:00,2020,231,4,13,13,11,73.1
2020-08-18 06:00:00,2020,231,5,13,13,11,73.1
2020-08-18 07:00:00,2020,231,6,13,13,13,73.1
2020-08-18 08:00:00,2020,231,7,13,13,9,73.1
2020-08-18 09:00:00,2020,231,8,13,13,8,73.1
2020-08-18 10:00:00,2020,231,9,13,13,11,73.1
2020-08-18 11:00:00,2020,231,10,13,13,7,73.1
2020-08-18 12:00:00,2020,231,11,13,13,1,73.1
2020-08-18 13:00:00,2020,231,12,17,13,-5,73.1
2020-08-18 14:00:00,2020,231,13,17,13,-1,73.1
2020-08-18 15:00:00,2020,231,14,17,13,4,73.1
2020-08-18 16:00:00,2020,231,15,7,13,5,73.1
2020-08-18 17:00:00,2020,231,16,7,13,7,73.1
2020-08-18 18:00:00,2020,231,17,7,13,3,73.1
2020-08-18 19:00:00,2020,231,18,10,13,1,73.1
2020-08-18 20:00:00,2020,231,19,10,13,4,73.1
2020-08-18 21:00:00,2020,231,20,10,13,2,73.1
2020-08-18 22:00:00,2020,231,21,30,13,2,73.1
2020-08-18 23:00:00,2020,231,22,30,13,-7,73.1
2020-08-19 00:00:00,2020,231,23,30,13,-8,73.1
2020-08-19 01:00:00,2020,232,0,27,16,-10,72.2
2020-08-19 02:00:00,2020,232,1,27,16,-11,72.2
2020-08-19 03:00:00,2020,232,2,27,16,-13,72.2
2020-08-19 04:00:00,2020,232,3,23,16,-13,72.2
2020-08-19 05:00:00,2020,232,4,23,16,-15,72.2
2020-08-19 06:00:00,2020,232,5,23,16,-16,72.2
2020-08-19 07:00:00,2020,232,6,3,16,-13,72.2
2020-08-19 08:00:00,2020,232,7,3,16,-7,72.2
2020-08-19 09:00:00,2020,232,8,3,16,-4,72.2
2020-08-19 10:00:00,2020,232,9,3,16,-5,72.2
2020-08-19 11:00:00,2020,232,10,3,16,-7,72.2
2020-08-19 12:00:00,2020,232,11,3,16,-6,72.2
2020-08-19 13:00:00,2020,232,12,3,16,-6,72.2
2020-08-19 14:00:00,2020,232,13,3,16,-3,72.2
2020-08-19 15:00:00,2020,232,14,3,16,-2,72.2
2020-08-19 16:00:00,2020,232,15,7,16,-3,72.2
2020-08-19 17:00:00,2020,232,16,7,16,-4,72.2
2020-08-19 18:00:00,2020,232,17,7,16,-5,72.2
2020-08-19 19:00:00,2020,232,18,7,16,-5,72.2
2020-08-19 20:00:00,2020,232,19,7,16,-5,72.2
2020-08-19 21:00:00,2020,232,20,7,16,-7,72.2
2020-08-19 22:00:00,2020,232,21,10,16,-10,72.2
2020-08-19 23:00:00,2020,232,22,10,16,-14,72.2
2020-08-20 00:00:00,2020,232,23,10,16,-14,72.2
2020-08-20 01:00:00,2020,233,0,3,12,-7,71.6
2020-08-20 02:00:00,2020,233,1,3,12,1,71.6
2020-08-20 03:00:00,2020,233,2,3,12,5,71.6
2020-08-20 04:00:00,2020,233,3,7,12,12,71.6
2020-08-20 05:00:00,2020,233,4,7,12,13,71.6
2020-08-20 06:00:00,2020,233,5,7,12,11,71.6
2020-08-20 07:00:00,2020,233,6,0,12,9,71.6
2020-08-20 08:00:00,2020,233,7,0,12,10,71.6
2020-08-20 09:00:00,2020,233,8,0,12,12,71.6
2020-08-20 10:00:00,2020,233,9,7,12,12,71.6
2020-08-20 11:00:00,2020,233,10,7,12,8,71.6
2020-08-20 12:00:00,2020,233,11,7,12,9,71.6
2020-08-20 13:00:00,2020,233,12,10,12,12,71.6
2020-08-20 14:00:00,2020,233,13,10,12,12,71.6
2020-08-20 15:00:00,2020,233,14,10,12,12,71.6
2020-08-20 16:00:00,2020,233,15,7,12,10,71.6
2020-08-20 17:00:00,2020,233,16,7,12,9,71.6
2020-08-20 18:00:00,2020,233,17,7,12,7,71.6
2020-08-20 19:00:00,2020,233,18,3,12,4,71.6
2020-08-20 20:00:00,2020,233,19,3,12,4,71.6
2020-08-20 21:00:00,2020,233,20,3,12,4,71.6
2020-08-20 22:00:00,2020,233,21,7,12,2,71.6
2020-08-20 23:00:00,2020,233,22,7,12,2,71.6
2020-08-21 00:00:00,2020,233,23,7,12,2,71.6
